fid,building_volume,population_density,greenhouse_coverage,road_density,light_pollution,city
7743,1069004.25,1003.47021,0.0,42.6688,433.0,Amsterdam
7744,697340.25,988.06445,0.0,26.67304,433.0,Amsterdam
7745,3405872.0,1547.42664,0.0,52.04702,479.0,Amsterdam
7746,1145699.125,1450.41614,0.0,22.0547,403.0,Amsterdam
7747,257973.73438,855.36285,0.0,16.34023,423.0,Amsterdam
7748,853631.9375,1269.67273,0.0,17.79482,419.0,Amsterdam
7749,751825.875,890.47461,0.0,18.97269,419.0,Amsterdam
7750,206018.01563,74.35357,0.0,31.14434,397.0,Amsterdam
7751,575992.0,447.27734,0.0,23.65092,410.0,Amsterdam
7752,286598.4375,1068.61548,0.0,28.78379,289.0,Amsterdam
7753,146895.59375,163.17432,0.0,8.69355,212.0,Amsterdam
7754,711653.3125,544.12585,0.0,25.66742,212.0,Amsterdam
7755,44289.89063,114.98157,0.0,19.53306,211.0,Amsterdam
7756,2256197.75,440.39575,0.0,27.50662,174.0,Amsterdam
7757,630586.5625,540.74481,0.0,32.30312,165.0,Amsterdam
7758,816933.375,829.0235,0.0,40.57726,182.0,Amsterdam
7759,647803.375,728.52026,0.0,47.69072,182.0,Amsterdam
7760,1128771.25,553.22516,0.0,46.06453,202.0,Amsterdam
7761,302487.75,522.31567,0.0,27.80465,166.0,Amsterdam
7762,64389.57422,345.49896,0.0,38.32968,156.0,Amsterdam
7763,567914.5625,291.65009,0.0,39.73231,169.0,Amsterdam
7764,25872.22266,277.36472,0.0,22.04448,125.0,Amsterdam
7765,299328.5,353.83469,0.0,32.33783,125.0,Amsterdam
7766,269.33102,23.88798,0.0,9.61711,78.0,Amsterdam
7767,319590.875,552.52728,0.0,31.90791,96.0,Amsterdam
7768,591225.875,618.00159,0.0,34.35141,90.0,Amsterdam
7769,3375.38843,189.70711,0.0,5.4569,46.0,Amsterdam
7770,0.0,0.0,0.0,0.72326,46.0,Amsterdam
7771,2456.86157,0.0,0.0,7.62148,31.0,Amsterdam
7772,1770910.875,615.09497,0.0,46.41759,168.0,Amsterdam
7773,1245879.625,374.91086,0.0,36.60232,182.0,Amsterdam
7774,500239.1875,543.24188,0.0,38.53115,153.0,Amsterdam
7775,224955.9375,890.08722,0.0,44.03772,143.0,Amsterdam
7776,1673821.75,609.39893,0.0,44.38379,159.0,Amsterdam
7777,15232.20508,195.49316,0.0,18.14828,111.0,Amsterdam
7778,295.97009,14.75066,0.0,10.00301,111.0,Amsterdam
7779,124.41391,5.77109,0.0,7.43223,70.0,Amsterdam
7780,334406.90625,262.19818,0.0,33.64965,96.0,Amsterdam
7781,617524.5625,696.68036,0.0,53.32276,93.0,Amsterdam
